Ready,Updated,Title,Data Package URL,URL,Example URL,License / Comments,Tags
Y,2015,Swiss Food Composition database,https://github.com/schoolofdata-ch/food-composition-ch.git,http://www.naehrwertdaten.ch/request?xml=MessageData&xml=MetaData&xsl=Download&lan=en&pageKey=Start,http://duns.ethz.ch//request?query=ProductDetails&xml=MessageData&xml=MetaData&xsl=ListDetails&productId=131&lan=en&letter=A&pageKey=ListDetails,Free to use with Attribution,nutrients composition ch
Y,2017,Ingredients that can cause allergies or other adverse reactions,https://github.com/schoolofdata-ch/food-allergens.git,https://www.admin.ch/opc/de/classified-compilation/20050161/201403250000/817.022.21.pdf,http://food.schoolofdata.ch/food-allergens/,Public Domain,allergies ch
Y,2014,FAO stat Crop/Livestock worldwide,https://github.com/schoolofdata-ch/food-production-ch.git,https://github.com/schoolofdata-ch/food_data_production_crop_livestock,https://github.com/schoolofdata-ch/food_data_production_crop_livestock,Public Domain,agriculture animal
Y,2016,Canadian Food Availability by Major Groups Database,https://github.com/schoolofdata-ch/food-availability-ca,http://www5.statcan.gc.ca/subject-sujet/result-resultat?pid=920&id=921&lang=eng&type=ARRAY&pageNum=1&more=0,http://open.canada.ca/data/en/dataset/90ab2297-8888-4e8f-8fb1-57ec40551ec9,Open Government License,nutrition ca
Y,2016,Meat Consumption World Wide,https://github.com/schoolofdata-ch/food-meat-consumption.git,https://data.oecd.org/agroutput/crop-production.htm,,"OECD license for any use, attribution required http://www.oecd.org/termsandconditions/ ",consumption
Y,2016,IMF Commodity prices (including wheat and other foodstuffs),https://github.com/datasets/commodity-prices.git,http://www.imf.org,,Free to use http://www.imf.org/external/terms.htm,economics
Y,2017,Land Matrix dataset,https://github.com/schoolofdata-ch/land-matrix.git,http://landportal.info/landmatrix/,,CC BY-SA NC 3.0 http://landportal.info/landmatrix/index.php#pages-disclaimer,map landuse
Y,2017,Open Food Facts database,,https://world.openfoodfacts.org/data,https://www.kaggle.com/openfoodfacts/world-food-facts,ODL https://world.openfoodfacts.org/terms-of-use,product
Y,2016,Food composition data (France),,https://pro.anses.fr/tableciqual/index.htm ,,"Text is on website, only condition is to mention the source when distributing the data - via @SadRejeb",safety fr
Y,2015,Family Food Open Data (UK),,https://www.gov.uk/government/statistics/family-food-open-data ,http://worldteanews.com/news/domestic-international-news/the-changing-british-tea-habit ,Open Government License,nutrition uk
Y,2015,World Bank Health Nutrition and Population Statistics,,http://data.worldbank.org/data-catalog/health-nutrition-and-population-statistics,http://worldbank.270a.info/view,"World Bank terms http://web.worldbank.org/WBSITE/EXTERNAL/0,,contentMDK:22547097~pagePK:50016803~piPK:50016805~theSitePK:13,00.html",nutrition
Y,2015,Worldwide Crop production Wheat / Rice / Maize / Soybean in Thousand tonnes,,https://data.oecd.org/agroutput/crop-production.htm,,"OECD license for any use, attribution required http://www.oecd.org/termsandconditions/ ",production
Y,2017,EU Register on nutrition and health claims,,http://ec.europa.eu/food/safety/labelling_nutrition/claims/register/public/?event=generateDocument&type='XLS',,Open Government License,nutrition claim eu
Y,2012,Digital soil suitability map of Switzerland,,https://opendata.swiss/en/dataset/digitale-bodeneignungskarte-der-schweiz-nahrstoffspeichervermogen ,https://s.geo.admin.ch/70b8969184 ,Commercial use with permission,map landuse ch
Y,2017,United States Department of Agriculture Agricultural Research Service USDA Food Composition Databases ,,https://ndb.nal.usda.gov/ndb/search/list,,Open Government License,nutrition us
Y,2018,Prognolite,https://github.com/foodopendata/prognolite-sample.git,http://www.prognolite.ch,http://www.juckerfarm.ch/,TBD,weather guests farmstay restaurant
